************* GAP-20 *********************
Temp     a[A]      c[A]
300    1.4243     3.2807
400    1.4247     3.2926
600    1.4253     3.7162
800    1.4247     3.7186
1000   1.4254     3.7106

************* COMB3 **********************
Temp     a[A]      c[A]
300    1.4212 	  3.3933
400    1.4218 	  3.4033
600    1.4228	  3.4206
800    1.4233	  3.4442
1000   1.4245 	  3.4597

************* reaxFF **********************
Temp     a[A]      c[A]
300    1.4163     3.2872
400    1.4148	  3.2980
600    1.4121	  3.3163
800    1.4093	  3.3311
1000   1.4071	  3.3480

************* reaxFF-CHO **********************
Temp     a[A]      c[A]
300    1.4439	  3.1627
400    1.4441	  3.1634
600    1.4441	  3.1680
800    1.4438	  3.1743
1000   1.4433	  3.1810

************* reaxFF-CHON **********************
Temp     a[A]      c[A]
300    1.4149     3.2868
400    1.4138	  3.2891
600    1.4111	  3.3121
800    1.4087	  3.3300
1000   1.4048	  3.3509
1200   1.4038     3.3682
1400   1.4025     3.3718
1600   1.3987     3.4049
1800   1.3977     3.4268
2000   1.39628    3.4248

************* LCBOP **********************
Temp     a[A]      c[A]
300    1.4194	 3.3889
400    1.4195	 3.4034
600    1.4198	 3.4368
800    1.4202	 3.4594
1000   1.4205	 3.5027

************ CuNi *****************
Temp     a[A]
200    3.6298
300    3.6378
400    3.6398
600    3.6540
800    3.6686

End
End
